package,owner,category,sub_category
MatrixEquations,andreasvarga,Mathematics,Matrix Theory
Matte,angusmoore,Desktop Applications,GUI
Maxima,nsmith5,Mathematics,Symbolic Computation
MaxwellFDFD,wsshin,Physics,Electromagnetism
MCAnalyzer,JuliaPerf,Super Computing,SIMD Computing
MCMCBenchmarks,StatisticalRethinkingJulia,Mathematics,
MCMCChain,TuringLang,Probability & Statistics,Markovian
MCMCChains,TuringLang,Probability & Statistics,Markovian
MCTS,JuliaPOMDP,AI,Reinforcement Learning
MeasureTheory,cscherrer,Probability & Statistics,Probabilistic Programming
Memento,invenia,DevOps,Logging
Memoization,marius311,Programming Paradigms,Functional Programming
MeshArrays,JuliaClimate,Earth Science,Climatology
MeshCat,rdeits,Graphics,3D
MeshCatMechanisms,JuliaRobotics,Physics,
Meshing,JuliaGeometry,Mathematics,Computational Geometry
MeshViz,JuliaGeometry,Graphics,3D
MessyTimeSeries,fipelle,Probability & Statistics,Temporal
MetaGraphsNext,JuliaGraphs,Mathematics,Graph Theory
Metaheuristics,jmejia8,Optimization,
Metal,JuliaGPU,Super Computing,GPGPU
Metalhead,FluxML,AI,Machine Learning
Metatheory,JuliaSymbolics,Programming Paradigms,Metaprogramming
MethodAnalysis,timholy,Programming Paradigms,Macro
MethodOfLines,SciML,Mathematics,General Differential Equations
Microbiome,EcoJulia,Biology,
MIDI,JuliaMusic,AI,Machine Learning
Miletus,JuliaComputing,Actuarial Science,Finance
Mill,CTUAvastLab,AI,Machine Learning
MinimallyDisruptiveCurves,SciML,Mathematics,Modelling
MIPVerify,vtjeng,AI,Machine Learning
MIRT,JeffFessler,Physics,Medical Physics
Missings,JuliaData,Programming Paradigms,
Mixers,rafaqz,Programming Paradigms,Metaprogramming
Mixtape,JuliaCompilerPlugins,Programming Paradigms,Control Flow
Mjolnir,FluxML,Programming Paradigms,Automatic Programming
MLBase,JuliaStats,AI,Machine Learning
MLDataPattern,JuliaML,AI,Machine Learning
MLDataUtils,JuliaML,AI,Machine Learning
MLJBase,JuliaAI,AI,Machine Learning
MLJFlux,FluxML,AI,Machine Learning
MLJLinearModels,JuliaAI,AI,Machine Learning
MLJModelInterface,JuliaAI,AI,Machine Learning
MLJModels,JuliaAI,AI,Machine Learning
MLJTuning,JuliaAI,AI,Machine Learning
MLStyle,thautwarm,Programming Paradigms,Metaprogramming
MLUtils,JuliaML,AI,Machine Learning
Mocking,JuliaTesting,Programming Paradigms,
ModelingToolkitDesigner,bradcarman,Desktop Applications,GUI
ModelingToolkitStandardLibrary,SciML,Physics,Electromagnetism
ModelParameters,rafaqz,Mathematics,Modelling
ModernRoboticsBook,ferrolho,Physics,
Modia,ModiaSim,Physics,
Modia3D,ModiaSim,Programming Paradigms,
MoistThermodynamics,CliMA,Physics,Fluid Dynamics
MomentClosure,augustinas1,Chemistry,Reaction Kinetics
MonkeyLang,lucifer1004,Programming Paradigms,Interpreters
MPIClusterManagers,JuliaParallel,Super Computing,Distributed Computing
MPSKit,maartenvd,Physics,Quantum Physics
MRIReco,MagneticResonanceImaging,Physics,Medical Physics
MRIsim,cncastillo,Physics,
MsgPack,JuliaIO,File IO,Data Formats
MuladdMacro,SciML,Mathematics,Functions
MultiDocumenter,JuliaComputing,Programming Paradigms,Metaprogramming
MultiFloats,dzhang314,Mathematics,Numerical Analysis
MultiJuMP,anriseth,Optimization,Nonlinear Programming
MultilayerGraphs,JuliaGraphs,Mathematics,Graph Theory
MultiObjectiveAlgorithms,jump-dev,Optimization,
MultipleScattering,JuliaWaveScattering,Physics,
MultipleTesting,juliangehring,Probability & Statistics,Tests
MultiScaleArrays,SciML,Mathematics,Matrix Theory
MultistartOptimization,tpapp,Optimization,Nonlinear Programming
MultivariatePolynomials,JuliaAlgebra,Mathematics,Polynomials
MusicManipulations,JuliaMusic,Algorithms,Pattern Matching
Mustache,jverzani,Desktop Applications,Documentation Tools
MutableArithmetics,jump-dev,Mathematics,Computer Arithmetic
Nabla,invenia,AI,Machine Learning
NaiveGAflux,DrChainsaw,AI,Machine Learning
NamedDims,invenia,Utilities,
NamedTupleTools,JeffreySarnoff,Programming Paradigms,Metaprogramming
NBodySimulator,SciML,Physics,
NCDatasets,Alexander-Barth,File IO,Scientific Data Formats
NearestNeighborDescent,dillondaudert,Algorithms,Pattern Matching
Nemo,Nemocas,Mathematics,Algebra
Neovim,bfredl,Programming Paradigms,Interpreters
Neptune,compleathorseplayer,Desktop Applications,Jupyter
NestedSamplers,TuringLang,Mathematics,Numerical Analysis
NetworkInference,Tchanders,Biology,Bioinformatics
NetworkLayout,JuliaGraphs,Mathematics,Graph Theory
NeuralNetDiffEq,SciML,AI,Neural Networks
NeuralOperators,SciML,Physics,Fluid Dynamics
NeuralPDE,SciML,Physics,
Neuroimaging,rob-luke,Biology,Neuroscience
NiLang,GiggleLiu,Programming Paradigms,DSL
NNlib,FluxML,AI,Neural Networks
NOMAD,bbopt,Optimization,Nonlinear Programming
Nonconvex,JuliaNonconvex,Optimization,Nonlinear Programming
NonlinearEigenproblems,nep-pack,Mathematics,Numerical Linear Algebra
NonlinearSchrodinger,oashour,Mathematics,Functions
NonlinearSolve,SciML,Mathematics,Numerical Analysis
NotebookToLaTeX,davibarreira,Desktop Applications,Documentation Tools
NumericalIntegration,dextorious,Mathematics,Numerical Analysis
ObjectDetector,r3tex,AI,Machine Learning
ObjectOriented,Suzhou-Tongyuan,Programming Paradigms,Functional Programming
Observables,JuliaGizmos,Programming Paradigms,Reactive Programming
Oceananigans,CliMA,Physics,Fluid Dynamics
Octavian,JuliaLinearAlgebra,Mathematics,Linear Algebra
ODE,SciML,Mathematics,General Differential Equations
ODEFilters,nathanaelbosch,Mathematics,General Differential Equations
OhMyREPL,KristofferC,Programming Paradigms,Interpreters
OMEinsum,under-Peter,Algorithms,Pattern Matching
OMJulia,OpenModelica,Programming Paradigms,DSL
Omniscape,Circuitscape,Earth Science,GIS
Onda,beacon-biosignals,Data Science,
oneAPI,JuliaGPU,Super Computing,Parallel Computing
ONNXNaiveNASflux,DrChainsaw,AI,Neural Networks
OpenAI,JuliaML,AI,Machine Learning
OpenAIReplMode,anandijain,AI,Machine Learning
OpenQuantumTools,USCqserver,Physics,Quantum Physics
OperatorLearning,SciML,Mathematics,General Differential Equations
OptimalTransport,JuliaOptimalTransport,Optimization,Linear Programming Optimization
Optimisers,FluxML,Optimization,Nonlinear Programming
Optimization,SciML,Optimization,
OptimizationProblems,JuliaSmoothOptimizers,Optimization,
OptimKit,Jutho,Optimization,
Oracle,felipenoris,Database,RDBMS
OrbitalTrajectories,dpad,Space Science,Astro Libraries
OrdinaryDiffEq,SciML,Mathematics,General Differential Equations
Org,tecosaur,Programming Paradigms,DSL
Oscar,oscar-system,Mathematics,Algebra
OSMMakie,MakieOrg,Graphics,2D Vector Graphics
OutlierDetection,OutlierDetectionJL,Algorithms,Pattern Matching
Overseer,louisponet,Graphics,Games
OwnTime,DevJac,Super Computing,
Oxygen,ndortega,Server,Middleware
PackageAnalyzer,JuliaEcosystem,Programming Paradigms,Automatic Programming
PackageCompatUI,GunnarFarneback,DevOps,Build Automation
PackageCompiler,JuliaLang,Programming Paradigms,Automatic Programming
PairPlots,sefffal,Graphics,Graphical Plotting
Pajarito,jump-dev,Optimization,Nonlinear Programming
ParallelKMeans,PyDataBlog,Algorithms,
ParallelStencil,omlins,Super Computing,Parallel Computing
ParameterHandling,JuliaGaussianProcesses,Optimization,
ParameterizedFunctions,SciML,Mathematics,General Differential Equations
ParameterJuMP,JuliaStochOpt,Optimization,Linear Programming Optimization
Parametron,tkoolen,Optimization,Linear Programming Optimization
PartialFunctions,archermarx,Programming Paradigms,Functional Programming
PartialLeastSquaresRegressor,lalvim,Mathematics,Numerical Analysis
PartitionedArrays,fverdugo,Super Computing,Distributed Computing
PastaQ,GTorlai,Physics,Quantum Mechanics
Pathfinder,mlcolab,Probability & Statistics,Bayesian
Pavito,jump-dev,Optimization,
PDDL,JuliaPlanners,Programming Paradigms,Interpreters
Peaks,halleysfifthinc,Algorithms,Pattern Matching
PencilArrays,jipolanco,Super Computing,Parallel Computing
PencilFFTs,jipolanco,Mathematics,FFT
Percival,JuliaSmoothOptimizers,Optimization,Nonlinear Programming
Permutations,scheinerman,Mathematics,Puzzles
PETLION,MarcBerliner,Chemistry,Solid State Chemistry and Materials Science
Pickle,chengchingwen,File IO,General IO
PiCraft,JuliaBerry,Desktop Applications,Jupyter
Pigeons,Julia-Tempering,Super Computing,Distributed Computing
Pingouin,clementpoiret,Probability & Statistics,Tests
PkgBenchmark,JuliaCI,DevOps,Continuous Integration
PkgCacheInspector,timholy,Programming Paradigms,Control Flow
PkgCite,SebastianM-C,Programming Paradigms,DSL
PkgDependency,peng1999,Programming Paradigms,
PkgGraph,tfiers,Desktop Applications,
PkgMirrors,sunoru,DevOps,
PkgPage,tlienart,Desktop Applications,Documentation Tools
PkgSkeleton,tpapp,Programming Paradigms,Automatic Programming
PkgTemplates,JuliaCI,Programming Paradigms,DSL
Plasmo,plasmo-dev,Optimization,
PlotlyLight,JuliaComputing,Graphics,Graphical Plotting
Pluto,fonsp,Programming Paradigms,Reactive Programming
PlutoSliderServer,JuliaPluto,Desktop Applications,Jupyter
PlutoStaticHTML,rikhuijzer,Server,Frameworks
PlutoTeachingTools,JuliaPluto,Programming Paradigms,Automatic Programming
PlutoTest,JuliaPluto,Desktop Applications,Jupyter
PlutoUI,JuliaPluto,Desktop Applications,Jupyter
PolyChaos,SciML,Mathematics,Numerical Analysis
Polyester,JuliaSIMD,Super Computing,Concurrency
PolyJuMP,jump-dev,Optimization,Nonlinear Programming
Polynomials,JuliaMath,Mathematics,Polynomials
POMCPOW,JuliaPOMDP,AI,Reinforcement Learning
PooledArrays,JuliaData,Database,
PopGen,BioJulia,Biology,Bioinformatics
Poptart,wookay,Desktop Applications,GUI
PorousMaterials,SimonEnsemble,Chemistry,Solid State Chemistry and Materials Science
PowerDynamics,JuliaEnergy,Physics,Electromagnetism
PowerModels,lanl-ansi,Physics,Electromagnetism
PowerModelsACDC,Electa-Git,Optimization,Linear Programming Optimization
PowerModelsDistribution,lanl-ansi,Super Computing,
PowerSimulations,NREL-Sienna,Optimization,
PowerSimulationsDynamics,NREL-Sienna,Physics,Electromagnetism
PowerSystems,NREL-Sienna,Super Computing,
PProf,JuliaPerf,Programming Paradigms,Control Flow
PPTX,ASML-Labs,Desktop Applications,Documentation Tools
PreallocationTools,SciML,Super Computing,
PrecompileSignatures,rikhuijzer,Programming Paradigms,Macro
PrecompileTools,JuliaLang,Programming Paradigms,Control Flow
Preconditioners,JuliaLinearAlgebra,Mathematics,Numerical Analysis
Preferences,JuliaPackaging,Programming Paradigms,Serialization
Presentation,kdheepak,Utilities,Terminal
PrettyNumbers,ronisbr,Utilities,
PrettyPrinting,MechanicalRabbit,Programming Paradigms,Functional Programming
PrettyTables,ronisbr,Utilities,
Primes,JuliaMath,Mathematics,
ProbabilisticCircuits,Juice-jl,Probability & Statistics,Probabilistic Programming
ProbNumDiffEq,nathanaelbosch,Mathematics,General Differential Equations
ProfileCanvas,pfitzseb,Desktop Applications,IDE
ProfileSVG,kimikage,Desktop Applications,Jupyter
ProgressBars,cloud-oak,Utilities,
ProgressLogging,JuliaLogging,Programming Paradigms,Control Flow
Proj,JuliaGeo,Earth Science,Cartography
ProtoStructs,BeastyBlacksmith,Programming Paradigms,Metaprogramming
ProximalAlgorithms,JuliaFirstOrder,Optimization,Nonlinear Programming
ProximalOperators,JuliaFirstOrder,Optimization,
ProxSDP,mariohsouto,Optimization,
PtFEM,PtFEM,Mathematics,Solid Geometry
PyCallChainRules,rejuvyesh,AI,Machine Learning
PythonCall,cjdoris,API,Python
PythonPlot,JuliaPy,Graphics,Graphical Plotting
QRCoders,JuliaImages,Utilities,
QuadGK,JuliaMath,Mathematics,Numerical Analysis
QuantLib,pazzo83,Actuarial Science,Finance
QuantumAlgebra,jfeist,Physics,Quantum Mechanics
QuantumCircuitOpt,harshangrjn,Physics,Quantum Physics
QuantumClifford,QuantumSavory,Algorithms,Quantum
QuantumCumulants,qojulia,Physics,Quantum Mechanics
QuantumFoca,Leticia-maria,Physics,Quantum Mechanics
QuantumInformation,iitis,Physics,Quantum Mechanics
QuantumLattices,Quantum-Many-Body,Physics,Quantum Physics
QuantumOpticsBase,qojulia,Physics,Quantum Mechanics
QuasiMonteCarlo,SciML,Mathematics,Numerical Analysis
QuDiffEq,QuantumBFS,Algorithms,Quantum
Query,queryverse,File IO,Data Formats
Queryverse,queryverse,Data Science,Software
QuickTypes,cstjean,Programming Paradigms,DSL
QXTools,JuliaQX,Physics,Quantum Physics
RadiativeTransfer,RemoteSensingTools,Earth Science,Meteorology
RandomizedPreconditioners,tjdiamandis,Mathematics,Numerical Linear Algebra
RandomNumbers,JuliaRandom,Mathematics,
Rasters,rafaqz,Earth Science,Cartography
RayTracer,avik-pal,Graphics,3D
RBNF,thautwarm,Programming Paradigms,DSL
RDKafka,dfdx,Server,
ReachabilityAnalysis,JuliaReach,Mathematics,General Differential Equations
ReactionMechanismSimulator,ReactionMechanismGenerator,Chemistry,Reaction Kinetics
ReactiveMP,biaslab,AI,Machine Learning
ReadableRegex,jkrumbiegel,Programming Paradigms,Macro
RealNeuralNetworks,seung-lab,Biology,Neuroscience
Recommendation,takuti,Algorithms,Collaborative Filtering
RecurrenceAnalysis,JuliaDynamics,Physics,Complex Systems
RecursiveFactorization,JuliaLinearAlgebra,Mathematics,Linear Algebra
ReferenceFrameRotations,JuliaSpace,Space Science,Astro Libraries
RegionTrees,rdeits,Mathematics,Computational Geometry
Registrator,JuliaRegistries,Programming Paradigms,Automatic Programming
RegressionTables,jmboehm,Mathematics,Mathematical Analysis
Reinforce,JuliaML,AI,Reinforcement Learning
ReinforcementLearning,JuliaReinforcementLearning,AI,Reinforcement Learning
RelocatableFolders,JuliaPackaging,Programming Paradigms,
Rematch,RelationalAI-oss,Algorithms,Pattern Matching
RemoteFiles,helgee,Utilities,
RemoteREPL,c42f,Programming Paradigms,Interpreters
ReplGPT,ThatcherC,Programming Paradigms,DSL
ReplMaker,MasonProtter,Programming Paradigms,DSL
ReservoirComputing,SciML,AI,Machine Learning
ResumableFunctions,BenLauwens,Programming Paradigms,Control Flow
ReTest,JuliaTesting,DevOps,Unit Tests
ReusePatterns,gcalderone,Programming Paradigms,Metaprogramming
ReverseDiff,JuliaDiff,Programming Paradigms,Automatic Programming
ReversePropagation,dpsanders,Algorithms,
Richardson,JuliaMath,Mathematics,
RigidBodySim,JuliaRobotics,Physics,
Ripserer,mtsch,Algorithms,Pattern Matching
RobotDynamics,RoboticExplorationLab,Machines,Robots
Robotlib,baggepinnen,Physics,
RobustAndOptimalControl,JuliaControl,Optimization,Nonlinear Programming
RootedTrees,SciML,Mathematics,Numerical Analysis
ROS,gstavrinos,Programming Paradigms,Functional Programming
RowEchelon,blegat,Mathematics,Linear Algebra
RRTMGP,CliMA,Earth Science,Climatology
RuntimeGeneratedFunctions,SciML,Programming Paradigms,
RxInfer,biaslab,Probability & Statistics,Probabilistic Programming
SaferIntegers,JeffreySarnoff,Mathematics,Computer Arithmetic
SafeTestsets,YingboMa,Desktop Applications,Debugger
SatelliteDynamics,sisl,Space Science,Astro Libraries
SatelliteToolbox,JuliaSpace,Space Science,Astro Libraries
ScientificTypes,JuliaAI,Data Science,Software
SciMLBase,SciML,Mathematics,Numerical Analysis
SciMLBenchmarks,SciML,Super Computing,
SciMLExpectations,SciML,Mathematics,Numerical Analysis
SciMLSensitivity,SciML,Mathematics,Numerical Analysis
SciMLTutorials,SciML,Data Science,Software
SciMLWorkshop,SciML,AI,Machine Learning
SCIP,scipopt,Optimization,Linear Programming Optimization
Scratch,JuliaPackaging,Utilities,Utils
SDDP,odow,Optimization,Linear Programming Optimization
Seaborn,JuliaPy,Graphics,Graphical Plotting
SeaPearl,corail-research,AI,Reinforcement Learning
SearchLight,GenieFramework,Server,Frameworks
SeisIO,jpjones76,Earth Science,
SeisNoise,tclements,Earth Science,
Semagrams,AlgebraicJulia,Programming Paradigms,DSL
SemanticModels,jpfairbanks,AI,
Setfield,jw3126,Programming Paradigms,
ShallowWaters,milankl,Earth Science,Meteorology
ShapML,nredell,AI,Machine Learning
Sherlock,caseykneale,Desktop Applications,Documentation Tools
ShortCodes,hellemo,Programming Paradigms,Interpreters
SIAMFANLEquations,ctkelley,Mathematics,Numerical Analysis
SIIPExamples,NREL-Sienna,Optimization,
Silico,simon-lc,Physics,Complex Systems
SimpleChains,PumasAI,AI,Machine Learning
SimpleContainerGenerator,JuliaContainerization,Utilities,
SimpleHypergraphs,pszufe,Mathematics,Graph Theory
SimpleNonlinearSolve,SciML,Optimization,Nonlinear Programming
SimpleTraits,mauro3,Programming Paradigms,Macro
Simulate,JuliaDynamics,Optimization,
SingularSpectrumAnalysis,baggepinnen,Mathematics,General Differential Equations
Sixel,JuliaIO,Desktop Applications,
SixelTerm,eschnett,Desktop Applications,GUI
SMC,FRBNY-DSGE,Probability & Statistics,Sampling
SMM,floswald,Actuarial Science,Econometrics
SoftPosit,milankl,Mathematics,Floating Point
SolidStateDetectors,JuliaPhysics,Chemistry,Solid State Chemistry and Materials Science
SolveDSGE,RJDennis,Mathematics,Numerical Analysis
Sophon,YichengDWu,Physics,Quantum Mechanics
SparseDiffTools,JuliaDiff,Mathematics,Numerical Analysis
SparsityDetection,SciML,AI,Machine Learning
Sparspak,PetrKryslUCSD,Mathematics,Numerical Linear Algebra
SpecialFunctions,JuliaMath,Mathematics,Special Functions
SpectralClustering,lucianolorenti,Algorithms,
SpectralDistances,baggepinnen,Physics,Quantum Physics
SpeedyWeather,SpeedyWeather,Earth Science,Meteorology
SpikingNeuralNetworks,AStupidBear,Biology,Neuroscience
SpinMonteCarlo,yomichi,Physics,Statistical Mechanics
SplitApplyCombine,JuliaData,Data Science,Software
SQLREPL,c42f,Database,PostgreSQL
StableRNGs,JuliaRandom,Data Science,Software
Starlight,jhigginbotham64,Graphics,Games
StateSpaceEcon,bankofcanada,Data Science,Software
StateSpaceModels,LAMPSPUC,Mathematics,General Differential Equations
StateSpaceRoutines,FRBNY-DSGE,Mathematics,Numerical Analysis
Static,SciML,Programming Paradigms,Metaprogramming
StaticCompiler,tshort,Super Computing,Compilers
StaticLint,julia-vscode,Programming Paradigms,Program Analysis
StaticNumbers,perrutquist,Mathematics,Numerical Analysis
StaticTools,brenhinkeller,Programming Paradigms,Automatic Programming
StaticWebPages,Humans-of-Julia,Desktop Applications,Jupyter
StatisticalGraphics,sl-solution,Data Science,Software
StatisticalRethinking,StatisticalRethinkingJulia,AI,Machine Learning
StatsFuns,JuliaStats,Mathematics,Functions
StatsKit,JuliaStats,Probability & Statistics,
StatsMakie,JuliaPlots,Graphics,Graphical Plotting
StatsModels,JuliaStats,Data Science,Software
StatsPlots,JuliaPlots,Data Science,Software
Stipple,GenieFramework,Desktop Applications,GUI
StippleUI,GenieFramework,Desktop Applications,GUI
StochasticAD,gaurav-arya,Programming Paradigms,Automatic Programming
StochasticDiffEq,SciML,Mathematics,General Differential Equations
StochasticPrograms,martinbiel,Optimization,Linear Programming Optimization
StochDynamicProgramming,JuliaStochOpt,Optimization,
Stonks,alinski29,Actuarial Science,Finance
Strapping,JuliaData,Database,
Strategems,dysonance,Algorithms,Scheduling Algorithm
StringEncodings,JuliaStrings,i18n-L10n,Unicode
StringViews,JuliaStrings,Mathematics,Functions
Strs,JuliaString,Programming Paradigms,DSL
StructTypes,JuliaData,Programming Paradigms,Serialization
StructuralEquationModels,StructuralEquationModels,Mathematics,Mathematical Analysis
StructuralIdentifiability,SciML,Mathematics,General Differential Equations
StructuredOptimization,JuliaFirstOrder,Optimization,Nonlinear Programming
SummationByPartsOperators,ranocha,Mathematics,Numerical Analysis
SumTypes,MasonProtter,Programming Paradigms,DSL
SurrealNumbers,mroughan,Mathematics,Set Theory
Survey,xKDR,Mathematics,
Survival,JuliaStats,Probability & Statistics,Regression
Swagger,JuliaComputing,Programming Paradigms,DSL
SweepContractor,chubbc,Physics,Quantum Mechanics
SymbolicControlSystems,JuliaControl,Mathematics,Mathematical Analysis
SymbolicIntegration,HaraldHofstaetter,Mathematics,Symbolic Computation
SymbolicNumericIntegration,SciML,Mathematics,Symbolic Computation
SymbolicPlanners,JuliaPlanners,Programming Paradigms,Automatic Programming
SymbolicRegression,MilesCranmer,Algorithms,
Symbolics,JuliaSymbolics,Mathematics,Symbolic Computation
SymbolicUtils,JuliaSymbolics,Mathematics,Symbolic Computation
SystemBenchmark,IanButterworth,Super Computing,Benchmarks
TableOperations,JuliaData,Utilities,Utils
TableReader,bicycle1885,File IO,Tabular Data
TableTransforms,JuliaML,Data Science,Software
Taichi,lucifer1004,Graphics,Computer Vision
Tar,JuliaIO,File IO,General IO
TaylorDiff,JuliaDiff,Mathematics,Calculus
Telegram,Arkoniak,Utilities,IRC
TemporalGPs,JuliaGaussianProcesses,Probability & Statistics,
TensorBoardLogger,JuliaLogging,AI,Machine Learning
TensorCast,mcabbott,Mathematics,Linear Algebra
TensorKit,Jutho,Mathematics,
TensorNetworkAD,under-Peter,Physics,
TensorToolbox,lanaperisa,Mathematics,Numerical Linear Algebra
Term,FedeClaudi,Utilities,Terminal
TerminalLoggers,JuliaLogging,Utilities,Terminal
TerminalPager,ronisbr,Utilities,Terminal
TerminalUserInterfaces,kdheepak,Utilities,Terminal
TestEnv,JuliaTesting,Programming Paradigms,Interpreters
TestItemRunner,julia-vscode,DevOps,Unit Tests
TestSetExtensions,ssfrr,Programming Paradigms,Program Analysis
TexTables,jacobadenbaum,Desktop Applications,Documentation Tools
TextParse,queryverse,Programming Paradigms,Automatic Programming
TextUserInterfaces,ronisbr,Desktop Applications,
TheFix,MikaelSlevinsky,Programming Paradigms,Control Flow
Thermodynamics,CliMA,Physics,Thermodynamics
ThreadPinning,carstenbauer,Super Computing,HPC
ThreadPools,tro3,Programming Paradigms,Multi-Threading
ThreadsX,tkf,Programming Paradigms,Multi-Threading
ThreadTools,baggepinnen,Programming Paradigms,Multi-Threading
Tidier,TidierOrg,Data Science,Software
TiffImages,tlnagy,File IO,Graphics Format
TightBinding,cometscome,Physics,
Tilde,cscherrer,Probability & Statistics,Probabilistic Programming
TimeSeriesClustering,holgerteichgraeber,Data Science,
TimeseriesPrediction,JuliaDynamics,Physics,Complex Systems
TimeseriesSurrogates,JuliaDynamics,Mathematics,Numerical Analysis
TimeZones,JuliaTime,Utilities,
Tokenize,JuliaLang,Programming Paradigms,Control Flow
Toolips,ChifiSource,Server,
TopicModelsVB,ericproffitt,Algorithms,Collaborative Filtering
TopOpt,JuliaTopOpt,Algorithms,
TORA,JuliaRobotics,Algorithms,Scheduling Algorithm
Torch,FluxML,AI,Machine Learning
Tracker,FluxML,AI,Machine Learning
TrajectoryOptimization,RoboticExplorationLab,Optimization,Linear Programming Optimization
TranscodingStreams,JuliaIO,Utilities,
TransformVariables,tpapp,AI,Machine Learning
TravelingSalesmanExact,ericphanson,Algorithms,Scheduling Algorithm
TreeView,JuliaTeX,Programming Paradigms,DSL
Tricks,oxinabox,Programming Paradigms,Control Flow
Trixi,trixi-framework,Physics,
TropicalTensors,TensorBFS,Physics,Complex Systems
TruthTables,eliascarv,Mathematics,Boolean Algebra
Try,JuliaPreludes,Programming Paradigms,Control Flow
TSAnalysis,fipelle,Probability & Statistics,Temporal
TSFrames,xKDR,Data Science,Software
TSML,IBM,AI,Machine Learning
TuringGLM,TuringLang,Probability & Statistics,Bayesian
TuringModels,StatisticalRethinkingJulia,Probability & Statistics,Regression
Turkie,theogf,AI,Machine Learning
TypeDBClient,Humans-of-Julia,Database,GraphDB
TypedTables,JuliaData,Data Science,Software
UMAP,dillondaudert,Algorithms,
Underscores,c42f,Programming Paradigms,Macro
UNet,DhairyaLGandhi,AI,Machine Learning
UnitCommitment,ANL-CEEESA,Optimization,Linear Programming Optimization
UnitfulRecipes,jw3126,Graphics,Graphical Plotting
Unityper,YingboMa,Programming Paradigms,Control Flow
UnPack,mauro3,Programming Paradigms,Control Flow
Unrolled,cstjean,Algorithms,
UnROOT,JuliaHEP,Physics,
UnsafeArrays,JuliaArrays,Programming Paradigms,Macro
UpdateJulia,LilithHafner,Programming Paradigms,Interpreters
ValSplit,ztangent,Algorithms,
VariantVisualization,compbiocore,Biology,Bioinformatics
VectorizationBase,JuliaSIMD,Algorithms,Scheduling Algorithm
VectorizedReduction,andrewjradcliffe,Mathematics,
VectorizedStatistics,JuliaSIMD,Probability & Statistics,
VimBindings,caleb-allen,Desktop Applications,IDE
Vimes,MikeInnes,QA,Package QA
ViscousFlow,JuliaIBPM,Physics,Fluid Dynamics
VoronoiFVM,j-fu,Physics,Fluid Dynamics
vSmartMOM,RemoteSensingTools,Earth Science,Meteorology
VulkanCore,JuliaGPU,Graphics,3D
Wandb,avik-pal,AI,Machine Learning
WatchJuliaBurn,JuliaWTF,Programming Paradigms,Automatic Programming
WaterLily,weymouth,Physics,Fluid Dynamics
WaterModels,lanl-ansi,Earth Science,
Wavelets,JuliaDSP,Mathematics,Functions
WebAssembly,MikeInnes,Programming Paradigms,DSL
WebIO,JuliaGizmos,Desktop Applications,Jupyter
Wflow,Deltares,Earth Science,
WordCloud,guo-yong-zhi,Graphics,Infographics
WordTokenizers,JuliaText,AI,NLP
WorldDynamics,worlddynamics,Earth Science,Climatology
WriteVTK,JuliaVTK,Graphics,3D
XKCD,joshday,Graphics,Feature Detection
XLSX,felipenoris,File IO,Data Formats
Xtensor,xtensor-stack,Programming Paradigms,Multi-Threading
XUnit,RelationalAI-oss,DevOps,Unit Tests
YAAD,Roger-luo,Mathematics,Calculus
Yao,QuantumBFS,Physics,Quantum Mechanics
YAXArrays,JuliaDataCubes,Data Science,
YOLO,IanButterworth,Graphics,Computer Vision
Yota,dfdx,AI,Machine Learning
Zalgo,cormullion,Algorithms,Pattern Matching
Zarr,JuliaIO,Mathematics,
ZigZagBoomerang,mschauer,AI,Machine Learning
ZXCalculus,QuantumBFS,Algorithms,Quantum
Zygote,FluxML,Algorithms,
